SSO_ACCOUNT	COUNT
FTTB/00009999	1
FTTB/00317	1
FTTB/02wind	1
FTTB/050636	1
FTTB/052009	1
FTTB/05romario	1
FTTB/06041954	1
FTTB/07061985	1
FTTB/07071950	1
FTTB/080296alex	1
FTTB/08061975	1
FTTB/08121324	1
FTTB/0850010388	1
FTTB/0850011386	1
FTTB/0850011578	1
FTTB/0850011675	1
FTTB/0850011713	2
FTTB/0850011959	2
FTTB/0850012019	2
FTTB/0850012518	2
FTTB/0850014146	1
FTTB/0850014281	4
FTTB/0850014433	1
FTTB/0850014937	1
FTTB/0850015267	1
FTTB/0850015307	1
FTTB/0850015548	1
FTTB/0850015712	1
FTTB/0850016924	1
FTTB/0850017490	1
FTTB/0850018193	1
FTTB/0850018860	1
FTTB/0850019091	1
FTTB/0850019122	1
FTTB/0850019378	1
FTTB/0850019624	1
FTTB/0850021498	2
FTTB/0850022029	1
FTTB/0850022440	1
FTTB/0850022587	1
FTTB/0850023450	1
FTTB/0850025432	1
FTTB/0850025841	1
FTTB/0850025849	1
FTTB/0850026176	2
FTTB/0850026648	1
FTTB/0850026667	2
FTTB/0850027158	2
FTTB/0850028756	1
FTTB/0850028762	1
FTTB/0850028829	1
FTTB/0850029845	1
FTTB/0850030371	1
FTTB/0850030408	2
FTTB/0850030863	1
FTTB/0850031657	4
FTTB/0850031858	1
FTTB/0850033452	1
FTTB/0850034221	1
FTTB/0850034320	1
FTTB/0850034674	1
FTTB/0850034697	1
FTTB/0850034862	1
FTTB/0850035210	4
FTTB/0850035612	3
FTTB/0850035647	4
FTTB/0850037550	1
FTTB/0850037611	1
FTTB/0850038343	1
FTTB/0850038498	1
FTTB/0850038690	2
FTTB/0850038778	2
FTTB/0850039682	1
FTTB/0850039824	2
FTTB/0850040221	1
FTTB/0850040307	1
FTTB/0850040530	1
FTTB/0850040680	1
FTTB/0850040811	1
FTTB/0850041022	1
FTTB/0850041198	1
FTTB/0850041583	1
FTTB/0850042061	2
FTTB/0850042104	1
FTTB/0850042480	1
FTTB/0850043586	1
FTTB/0850043591	1
FTTB/0850044391	1
FTTB/0850045664	1
FTTB/0850046332	2
FTTB/0850046425	1
FTTB/0850046927	1
FTTB/0850047063	1
FTTB/0850047158	1
FTTB/0850047558	2
FTTB/0850047580	1
FTTB/0850047648	1
FTTB/0850047881	2
FTTB/0850048108	1
FTTB/0850048501	2
FTTB/0850048881	1
FTTB/0850048946	4
FTTB/0850049118	1
FTTB/0850049902	1
FTTB/0850049965	1
FTTB/0850051339	1
FTTB/0850051496	1
FTTB/0850052256	1
FTTB/0850052874	1
FTTB/0850053104	1
FTTB/0850053351	1
FTTB/0850053360	1
FTTB/0850053379	1
FTTB/0850409858	1
FTTB/0850420437	1
FTTB/0850442002	1
